Date,Open,High,Low,Close,Adj Close,Volume
1972-06-01,3.693287,3.693287,3.234644,3.588684,0.394584,0
1972-07-01,3.725473,3.862261,3.451896,3.556499,0.391045,0
1972-08-01,3.645009,4.039281,3.645009,3.846169,0.422895,0
1972-09-01,3.991003,4.007096,3.524313,3.966864,0.436165,0
1972-10-01,3.991003,4.007096,3.636963,3.958818,0.435281,0
1972-11-01,3.926632,4.184116,3.918586,3.926632,0.431742,0
1972-12-01,4.023189,4.168024,4.007096,4.168024,0.458284,0
1973-01-01,4.208255,4.481833,4.047328,4.047328,0.445013,0
1973-02-01,3.910540,4.151931,3.725473,3.902493,0.429088,7986200
1973-03-01,3.830076,4.071467,3.685241,3.765705,0.414047,30586500
1973-04-01,3.564545,3.765705,3.105902,3.130041,0.344155,26844100
1973-05-01,3.371432,3.733519,3.154180,3.290968,0.361849,30147700
1973-06-01,3.290968,3.717427,3.226597,3.645009,0.400777,23343400
1973-07-01,3.604777,4.111699,3.476035,3.966864,0.436165,21615600
1973-08-01,3.966864,4.007096,3.717427,3.765705,0.414047,16976600
1973-09-01,3.773751,4.087560,3.685241,3.958818,0.435281,18203300
1973-10-01,3.950771,4.031235,3.822029,3.942725,0.433511,22550200
1973-11-01,3.926632,3.926632,2.840371,2.840371,0.312305,34066900
1973-12-01,2.808186,3.146134,2.679444,2.888649,0.317613,34275800
1974-01-01,2.687490,3.105902,2.365635,2.832325,0.311420,46974400
1974-02-01,2.832325,3.009345,2.607026,2.969113,0.326460,22286100
1974-03-01,2.969113,3.130041,2.687490,2.687490,0.295495,28679300
1974-04-01,2.687490,2.824279,2.373681,2.478284,0.272493,25717200
1974-05-01,2.526562,2.623119,2.132290,2.446099,0.268954,28577300
1974-06-01,2.607026,2.703583,2.236893,2.236893,0.245951,22983300
1974-07-01,2.236893,2.269078,1.729971,1.866760,0.205254,30799800
1974-08-01,1.866760,2.003548,1.448348,1.721925,0.189329,26939500
1974-09-01,1.593183,1.641461,1.206957,1.206957,0.132708,28326000
1974-10-01,1.206957,1.826528,1.134539,1.794342,0.197292,41550800
1974-11-01,1.810435,1.955270,1.585136,1.729971,0.190214,38713800
1974-12-01,1.681693,1.729971,1.512719,1.673647,0.184021,29446200
1975-01-01,1.705832,2.035733,1.641461,2.003548,0.220294,45768900
1975-02-01,2.084012,2.357589,1.971362,2.317357,0.254798,38553100
1975-03-01,2.357589,2.526562,2.132290,2.446099,0.268954,31443200
1975-04-01,2.478284,2.526562,2.204707,2.252986,0.247721,28814900
1975-05-01,2.333450,2.631166,2.333450,2.558748,0.281340,32564800
1975-06-01,2.566794,2.928881,2.550702,2.800139,0.307881,28097700
1975-07-01,2.743815,2.743815,2.373681,2.510470,0.276032,28494100
1975-08-01,2.446099,2.446099,1.866760,2.196661,0.241528,33503600
1975-09-01,2.148383,2.212754,1.890899,2.067919,0.227372,29250500
1975-10-01,2.108151,2.526562,2.092058,2.172522,0.238873,33850600
1975-11-01,2.212754,2.526562,2.212754,2.494377,0.274262,22457000
1975-12-01,2.510470,2.542655,2.228847,2.365635,0.260107,26209200
1976-01-01,2.365635,2.759907,2.357589,2.607026,0.286648,38921500
1976-02-01,2.607026,2.631166,2.373681,2.373681,0.260992,26022300
1976-03-01,2.373681,2.446099,2.172522,2.349542,0.258337,37047700
1976-04-01,2.309310,2.373681,1.995502,2.043780,0.224718,46957900
1976-05-01,2.043780,2.236893,2.043780,2.196661,0.241528,31883000
1976-06-01,2.212754,2.470238,2.148383,2.349542,0.258337,26412900
1976-07-01,2.405867,2.607026,2.373681,2.494377,0.274262,29483000
1976-08-01,2.494377,2.687490,2.478284,2.607026,0.286648,32316700
1976-09-01,2.647258,2.719676,2.526562,2.542655,0.279571,24259000
1976-10-01,2.542655,2.623119,2.454145,2.590934,0.284879,19613900
1976-11-01,2.623119,2.727722,2.430006,2.647258,0.291072,21425100
1976-12-01,2.647258,2.711629,2.478284,2.607026,0.286648,30927300
1977-01-01,2.607026,2.607026,2.252986,2.269078,0.249490,29438700
1977-02-01,2.325403,2.430006,2.293218,2.317357,0.254798,25009700
1977-03-01,2.333450,2.486331,2.285171,2.333450,0.256568,22941700
1977-04-01,2.333450,2.502424,2.293218,2.373681,0.260992,20207300
1977-05-01,2.373681,2.502424,2.293218,2.293218,0.254248,21055100
1977-06-01,2.293218,2.695537,2.252986,2.607026,0.289040,23697100
1977-07-01,2.590934,2.679444,2.494377,2.582887,0.286364,21636600
1977-08-01,2.598980,2.663351,2.574841,2.639212,0.294792,21751100
1977-09-01,2.647258,2.687490,2.405867,2.446099,0.273222,23273500
1977-10-01,2.446099,2.446099,2.285171,2.365635,0.264234,20799500
1977-11-01,2.365635,2.550702,2.325403,2.526562,0.284833,22384700
